{'Key': '0x0B39', 'Length': '34', 'SpecID': 'Dia_Anp_13', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'Audio_Management_Input_Gain_Offset'}
{'Key': '0x0981', 'Length': '4', 'SpecID': 'Dia_Anp_5055', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'Activation_for_external_usb'}
{'Key': '0x0557', 'Length': '3', 'SpecID': 'Dia_Anp_5072', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'function_configuration_media'}
{'Key': '0x055D', 'Length': '10', 'SpecID': 'Dia_Anp_6239', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'RSE_function_configuration'}
{'Key': '0x0B11', 'Length': '6', 'SpecID': 'Dia_Anp_5100', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'Vehicle_Dimensions'}
{'Key': '0x0B23', 'Length': '2', 'SpecID': 'Dia_Anp_5107', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'Set_PayTMC'}
{'Key': '0x0E38', 'Length': '2', 'SpecID': 'Dia_Anp_5110', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'Navigation_GNSS_Receiver_Setting'}
{'Key': '0x0558', 'Length': '4', 'SpecID': 'Dia_Anp_5132', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'function_configuration_navigation'}
{'Key': '0x050A', 'Length': '5', 'SpecID': 'Dia_Anp_5181', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'Select_Remote_Test_DAB_Service'}
{'Key': '0x050E', 'Length': '2', 'SpecID': 'Dia_Anp_5188', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'Radio_Level_Quality_Offsets'}
{'Key': '0x09EE', 'Length': '1', 'SpecID': 'Dia_Anp_5193', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'SDARS_Preactivated_subscription'}
{'Key': '0x0958', 'Length': '3', 'SpecID': 'Dia_Anp_5196', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'Adjustment_fm_tuner_mono_stereo'}
{'Key': '0x0506', 'Length': '1', 'SpecID': 'Dia_Anp_5203', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'Shift_Remote_Test_Frequency_FM'}
{'Key': '0x0508', 'Length': '1', 'SpecID': 'Dia_Anp_5208', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'Shift_Remote_Test_Frequency_AM'}
{'Key': '0x0509', 'Length': '1', 'SpecID': 'Dia_Anp_5213', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'Shift_Remote_Test_Frequency_DAB'}
{'Key': '0x0511', 'Length': '1', 'SpecID': 'Dia_Anp_5218', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'Set_Remote_Test_Channel_Scanning'}
{'Key': '0x0559', 'Length': '7', 'SpecID': 'Dia_Anp_5222', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'function_configuration_radio'}
{'Key': '0x2442', 'Length': 'phone', 'SpecID': 'Dia_Anp_5329', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'Mobile'}
{'Key': '0x055A', 'Length': '2', 'SpecID': 'Dia_Anp_5336', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'function_configuration_speech'}
{'Key': '0x0504', 'Length': '1', 'SpecID': 'Dia_Anp_6246', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'speechinput_properties_for_activation'}
{'Key': '0x0B24', 'Length': '1', 'SpecID': 'Dia_Anp_5377', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'Infotainment_Recorder'}
{'Key': '0x0515', 'Length': '3', 'SpecID': 'Dia_Anp_5381', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'Logging_Configuration'}
{'Key': '0x0513', 'Length': '28', 'SpecID': 'Dia_Anp_5389', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'powermanagement_timer'}
{'Key': '0x3C02', 'Length': '0', 'SpecID': 'Dia_Anp_5428', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'SWaP_function_crypt_data_ID'}
{'Key': '0x3C01', 'Length': '0', 'SpecID': 'Dia_Anp_5431', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'SWaP_function_transfer_crypt_data'}
{'Key': '0x050B', 'Length': '1', 'SpecID': 'Dia_Anp_6438', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'function_configuration_swap_fod'}
{'Key': '0x0B2E', 'Length': '2', 'SpecID': 'Dia_Anp_5435', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'Component_Update_Confirmation'}
{'Key': '0x055B', 'Length': '1', 'SpecID': 'Dia_Anp_5439', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'function_configuration_sw_update'}
{'Key': '0x0B44', 'Length': '6', 'SpecID': 'Dia_Anp_5445', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'Dimming_Ambient_Illumination_Information_Control_Unit'}
{'Key': '0x0B45', 'Length': '6', 'SpecID': 'Dia_Anp_5458', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'Dimming_Ambient_Illumination_Operating_and_Display_Unit'}
{'Key': '0x0B45', 'Length': '9', 'SpecID': 'Dia_Anp_6451', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'Dimming_Ambient_Illumination_Operating_and_Display_Unit'}
{'Key': '0x0B45', 'Length': '6', 'SpecID': 'Dia_Anp_6314', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'Dimming_Ambient_Illumination_Operating_and_Display_Unit'}
{'Key': '0x0B47', 'Length': '12', 'SpecID': 'Dia_Anp_5471', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'Dimming_Illumination_for_Display_Unit'}
{'Key': '0x052C', 'Length': '18', 'SpecID': 'Dia_Anp_6473', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'Dimming_illumination_for_display_unit_1_for_multimedia_system'}
{'Key': '0x052D', 'Length': '18', 'SpecID': 'Dia_Anp_6498', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'Dimming_illumination_for_display_unit_2_for_multimedia_system'}
{'Key': '0x052E', 'Length': '18', 'SpecID': 'Dia_Anp_6523', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'Dimming_illumination_for_display_unit_3_for_multimedia_system'}
{'Key': '0x052F', 'Length': '6', 'SpecID': 'Dia_Anp_6548', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'Dimming_ambient_illumination_for_volume_control'}
{'Key': '0x0B47', 'Length': '12', 'SpecID': 'Dia_Anp_6327', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'Dimming_Illumination_for_Display_Unit'}
{'Key': '0x0B46', 'Length': '12', 'SpecID': 'Dia_Anp_5496', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'Dimming_Functional_Illumination_for_Operating_Unit'}
{'Key': '0x0526', 'Length': '60', 'SpecID': 'Dia_Anp_6352', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'gestures_room'}
{'Key': '0x0527', 'Length': '60', 'SpecID': 'Dia_Anp_6355', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'proximity_room'}
{'Key': '0x0528', 'Length': '60', 'SpecID': 'Dia_Anp_6358', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'nearby_detection_room'}
{'Key': '0x0529', 'Length': '20', 'SpecID': 'Dia_Anp_6361', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'slider_parameter'}
{'Key': '0x0B3E', 'Length': '40', 'SpecID': 'Dia_Anp_5522', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'Operating_and_Display_Unit_1_Proximity_Sensor_Basic_Adaptation'}
{'Key': '0x00BE', 'Length': '34', 'SpecID': 'Dia_Anp_5526', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'IKA-Key'}
{'Key': '0x00BD', 'Length': '34', 'SpecID': 'Dia_Anp_5529', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'GFA-Key'}
{'Key': '0x02C5', 'Length': '96', 'SpecID': 'Dia_Anp_5855', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'Component_theft_protection_secure_hardware_extension'}
{'Key': '0x04FB', 'Length': '1', 'SpecID': 'Dia_Anp_5534', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'Roller_Test_Stand_Mode'}
{'Key': '0x04A3', 'Length': 'Component', 'SpecID': 'Dia_Anp_5539', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'Gateway'}
{'Key': '0x09D3', 'Length': '2', 'SpecID': 'Dia_Anp_6464', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'Ethernet_configuration'}
{'Key': '0x2A3B', 'Length': '1', 'SpecID': 'Dia_Anp_5603', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'Automatic_ring_circuit_break_diagnostic'}
{'Key': '0x092E', 'Length': '1', 'SpecID': 'Dia_Anp_5607', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'MOST_SSO_CU_Detection'}
{'Key': '0x092F', 'Length': '1', 'SpecID': 'Dia_Anp_6447', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'MOST_Optical_Wakeup'}
{'Key': '0x050F', 'Length': '30', 'SpecID': 'Dia_Anp_5710', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'error_mask'}
{'Key': '0x0B13', 'Length': '1', 'SpecID': 'Dia_Anp_5731', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'Fan_Operation'}
{'Key': '0x04FE', 'Length': '3', 'SpecID': 'Dia_Anp_5735', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'Productionmode'}
{'Key': '0x04FC', 'Length': 'deactivate', 'SpecID': 'Dia_Anp_5741', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'Productionmode'}
{'Key': '0x243F', 'Length': 'testmode', 'SpecID': 'Dia_Anp_5744', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'Developer'}
{'Key': '0x0514', 'Length': '32', 'SpecID': 'Dia_Anp_5748', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'Key_code_monitoring'}
{'Key': '0x0902', 'Length': 'of', 'SpecID': 'Dia_Anp_5813', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'Activation'}
{'Key': '0x0540', 'Length': '2', 'SpecID': 'Dia_Anp_6265', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'subsystem_identifier_version_implementation'}
{'Key': '0x055C', 'Length': '1', 'SpecID': 'Dia_Anp_5821', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'function_configuration_unit'}
{'Key': '0x0500', 'Length': '1', 'SpecID': 'Dia_Anp_6364', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'Video_audio_encryption'}
{'Key': '0x0571', 'Length': '2', 'SpecID': 'Dia_Anp_7281', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'function_configuration_pso'}
{'Key': '0x0600', 'Length': '25', 'SpecID': 'Dia_Cod_1', 'Namespace_purpose': 'Coding', 'Namespace_hex': '0x2000000', 'Longname': 'n/a'}
{'Key': '0xF187', 'Length': '11', 'SpecID': 'Dia_Ident_7', 'Namespace_purpose': 'Identification', 'Namespace_hex': '0x3000000', 'Longname': 'VW_Spare_Part_Number'}
{'Key': '0xF189', 'Length': '4', 'SpecID': 'Dia_Ident_110', 'Namespace_purpose': 'Identification', 'Namespace_hex': '0x3000000', 'Longname': 'VW_Application_Software_Version_Number'}
{'Key': '0xF18C', 'Length': 'Serial', 'SpecID': 'Dia_Ident_67', 'Namespace_purpose': 'Identification', 'Namespace_hex': '0x3000000', 'Longname': 'ECU'}
{'Key': '0xF191', 'Length': '11', 'SpecID': 'Dia_Ident_9', 'Namespace_purpose': 'Identification', 'Namespace_hex': '0x3000000', 'Longname': 'VW_ECU_Hardware_Number'}
{'Key': '0xF1AB', 'Length': '4', 'SpecID': 'Dia_Ident_109', 'Namespace_purpose': 'Identification', 'Namespace_hex': '0x3000000', 'Longname': 'VW_Logical_Software_Block_Version'}
{'Key': '0xF1A3', 'Length': '3', 'SpecID': 'Dia_Ident_11', 'Namespace_purpose': 'Identification', 'Namespace_hex': '0x3000000', 'Longname': 'VW_ECU_Hardware_Version_Number'}
{'Key': '0x7201', 'Length': 'Sound', 'SpecID': 'Dia_Ds_10', 'Namespace_purpose': 'Records', 'Namespace_hex': '0x4000000', 'Longname': 'Audio-Parameter'}
